id,input_text,language,input_kind,use_llm,expected_behavior,reference_answer,item,portion_description,calories_kcal,protein_g,fat_g,carbs_g,calories_kcal_min,calories_kcal_max,protein_g_min,protein_g_max,fat_g_min,fat_g_max,carbs_g_min,carbs_g_max,must_contain_any,must_not_contain_any,category,difficulty,tags,splits,source_note
na_golden_001,Сколько калорий в одном среднем банане?,ru,single_turn,False,estimate,"Примерно 105 ккал. БЖУ: белки 1.3 г, жиры 0.4 г, углеводы 27 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",banana,"1 medium banana, about 118 g",105.0,1.3,0.4,27.0,80.0,130.0,0.0,5.3,0.0,4.4,23.0,31.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate|smoke,golden|smoke,manual_estimate_v1
na_golden_002,How many calories are in a medium apple?,en,single_turn,False,estimate,"Approximately 95 kcal. Macros: protein 0.5 g, fat 0.3 g, carbs 25 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",apple,"1 medium apple, about 180 g",95.0,0.5,0.3,25.0,70.0,120.0,0.0,4.5,0.0,4.3,21.0,29.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate|smoke,golden|smoke,manual_estimate_v1
na_golden_003,Сколько БЖУ в одном вареном яйце?,ru,single_turn,False,estimate,"Примерно 78 ккал. БЖУ: белки 6.3 г, жиры 5.3 г, углеводы 0.6 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",boiled egg,"1 large boiled egg, about 50 g",78.0,6.3,5.3,0.6,53.0,103.0,2.3,10.3,1.3,9.3,0.0,4.6,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_004,Calories and macros for 100g cooked chicken breast,en,single_turn,False,estimate,"Approximately 165 kcal. Macros: protein 31 g, fat 3.6 g, carbs 0 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cooked chicken breast,"100 g cooked, skinless",165.0,31.0,3.6,0.0,140.0,190.0,27.0,35.0,0.0,7.6,0.0,4.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_005,Сколько калорий в 150 г запеченного лосося?,ru,single_turn,False,estimate,"Примерно 310 ккал. БЖУ: белки 34 г, жиры 18 г, углеводы 0 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",baked salmon,150 g baked salmon,310.0,34.0,18.0,0.0,264.0,356.0,27.0,41.0,11.0,25.0,0.0,7.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,medium,ru|basic|medium|estimate|smoke,golden|smoke,manual_estimate_v1
na_golden_006,How many calories in 200g cooked white rice?,en,single_turn,False,estimate,"Approximately 260 kcal. Macros: protein 5 g, fat 0.6 g, carbs 56 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cooked white rice,200 g cooked,260.0,5.0,0.6,56.0,221.0,299.0,1.0,9.0,0.0,4.6,52.0,60.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_007,Сколько БЖУ в 200 г вареной пасты без соуса?,ru,single_turn,False,estimate,"Примерно 310 ккал. БЖУ: белки 11 г, жиры 2 г, углеводы 62 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",cooked pasta,"200 g cooked pasta, no sauce",310.0,11.0,2.0,62.0,264.0,356.0,4.0,18.0,0.0,9.0,55.0,69.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_008,Calories in 50g dry oats cooked with water,en,single_turn,False,estimate,"Approximately 190 kcal. Macros: protein 6.5 g, fat 3.5 g, carbs 33 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",oats,"50 g dry oats, cooked with water",190.0,6.5,3.5,33.0,162.0,218.0,2.5,10.5,0.0,7.5,29.0,37.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_009,Сколько калорий в двух кусках цельнозернового хлеба?,ru,single_turn,False,estimate,"Примерно 180 ккал. БЖУ: белки 8 г, жиры 2.5 г, углеводы 33 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",whole wheat bread,"2 slices, about 70 g",180.0,8.0,2.5,33.0,153.0,207.0,4.0,12.0,0.0,6.5,29.0,37.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_010,Macros for 100g avocado,en,single_turn,False,estimate,"Approximately 160 kcal. Macros: protein 2 g, fat 15 g, carbs 9 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",avocado,100 g edible portion,160.0,2.0,15.0,9.0,135.0,185.0,0.0,6.0,11.0,19.0,5.0,13.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
